"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;5312411;0.006;32.56;55.03;3.004;16.6;233.3;10.5;0.0;50.03;0.06;0;0;0.00000;149.45984;
1111 1111 0000 0000;5314420;0.006;33.16;55.02;3.003;16.1;233.4;10.5;0.0;50.02;0.05;0;0;-0.00003;149.57886;
1111 1111 0000 0000;5316429;0.006;33.16;55.01;3.003;16.4;233.4;10.5;0.0;50.01;0.04;0;0;0.00000;-0.97620;
1111 1111 0000 0000;5318446;0.006;33.07;55.05;3.003;15.8;233.3;10.5;0.0;50.01;0.05;0;0;0.00000;-0.98096;
1111 1111 0000 0000;5320461;0.006;33.76;55.04;3.003;16.3;233.5;10.2;0.0;50.01;0.04;0;0;-0.00003;-0.98743;
1111 1111 0000 0000;5322471;0.006;33.16;55.04;3.003;16.3;233.3;10.2;0.0;50.01;0.04;0;0;0.00000;-0.98700;
1111 1111 0000 0000;5324480;0.006;32.47;55.01;3.003;16.7;233.1;10.5;0.0;50.01;0.05;0;0;0.00000;-0.98444;
1111 1111 0000 0000;5326490;0.006;32.47;55.01;3.004;16.4;233.2;10.5;0.0;50.01;0.04;0;0;-0.00003;-0.97565;
1111 1111 0000 0000;5328501;0.006;33.16;54.99;3.003;16.4;233.1;10.8;0.0;50.00;0.05;0;0;0.00000;-0.96851;
1111 1111 0000 0000;5330511;0.006;33.67;54.99;3.003;16.3;233.2;10.8;0.0;49.99;0.04;0;0;-0.00003;-0.98657;
1111 1111 0000 0000;5332521;0.006;33.16;54.96;3.003;16.3;233.1;10.5;0.0;49.98;0.05;0;0;-0.00003;-0.98499;
1111 1111 0000 0000;5335135;0.006;32.57;54.96;3.003;16.3;233.1;10.5;0.0;49.97;0.05;0;0;0.00000;-0.98608;
1111 1111 0000 0000;5337121;0.006;32.57;54.97;3.003;16.3;233.0;10.5;0.0;49.98;0.05;0;0;-0.00003;-0.99066;
1111 1111 0000 0000;5339567;0.006;33.07;54.95;3.003;16.4;233.1;10.8;0.0;49.98;0.05;0;0;0.00000;-0.98639;
1111 1111 0000 0000;5341580;0.006;33.76;54.97;3.003;16.0;233.0;10.5;0.0;49.98;0.05;0;0;-0.00003;-0.99939;
1111 1111 0000 0000;5343589;0.006;33.07;54.97;3.003;16.4;233.0;10.5;0.0;49.98;0.05;0;0;-0.00003;-0.98083;
1111 1111 0000 0000;5345600;0.006;32.56;54.95;3.003;16.4;233.3;10.8;0.0;49.97;0.04;0;0;0.00000;-0.98206;
1111 1111 0000 0000;5347611;0.006;32.56;55.00;3.004;16.1;233.3;10.5;0.0;49.97;0.05;0;0;-0.00003;-0.99878;"Walid is great";
